model,feature,train_size,DM_stat,p_value,significant_5pct
xgb,FeeMeanUSD,75,0.9921,0.3213,False
xgb,FeeMeanUSD,90,0.9816,0.3264,False
xgb,HashRate,30,-0.5731,0.5667,False
xgb,HashRate,45,-0.6169,0.5374,False
xgb,HashRate,60,-1.1853,0.236,False
xgb,HashRate,75,-0.6679,0.5043,False
xgb,HashRate,90,-1.6335,0.1025,False
xgb,RevUSD,30,-1.6328,0.1027,False
xgb,RevUSD,45,-0.3891,0.6973,False
xgb,RevUSD,60,-0.7099,0.4778,False
xgb,RevUSD,75,-0.6319,0.5275,False
xgb,RevUSD,90,0.0462,0.9632,False
xgb,TxTfrValAdjUSD,30,-0.9413,0.3467,False
xgb,TxTfrValAdjUSD,45,-0.2805,0.7791,False
xgb,TxTfrValAdjUSD,60,-1.0319,0.3022,False
xgb,TxTfrValAdjUSD,75,0.8412,0.4003,False
xgb,TxTfrValAdjUSD,90,-0.1139,0.9093,False
xgb,URTH,30,-0.6703,0.5028,False
xgb,URTH,45,-0.0925,0.9263,False
xgb,URTH,60,-1.0172,0.3092,False
xgb,URTH,75,0.564,0.5728,False
xgb,URTH,90,-0.1463,0.8837,False
xgb,^GSPC,30,-1.3949,0.1632,False
xgb,^GSPC,45,-0.1693,0.8656,False
xgb,^GSPC,60,-0.2331,0.8157,False
xgb,^GSPC,75,-0.0174,0.9861,False
xgb,^GSPC,90,0.0344,0.9725,False
xgb,Risk_Free,30,-2.2369,0.0254,True
xgb,Risk_Free,45,1.5184,0.1291,False
xgb,Risk_Free,60,0.4814,0.6303,False
xgb,Risk_Free,75,-0.3727,0.7094,False
xgb,Risk_Free,90,-0.5226,0.6013,False
xgb,OAS,30,0.3394,0.7343,False
xgb,OAS,45,0.9022,0.3671,False
xgb,OAS,60,0.5259,0.599,False
xgb,OAS,75,0.521,0.6024,False
xgb,OAS,90,1.4576,0.1451,False
xgb,Ten_Year,30,0.1567,0.8755,False
xgb,Ten_Year,45,-0.9087,0.3636,False
xgb,Ten_Year,60,0.0298,0.9762,False
